NAME,X,Y
KILK,360990,135070
ALFO,361060,133080
DITC,363000,137000
KITE,362320,135780
MEAD,363050,135550
SNAG,363690,135690
BFRM,362480,135000
SCOT,363490,134990
MOOR,362310,134270
JACO,363030,134450
SHIE,363620,134330
LOWE,362690,133410
CAST,363300,132640
SPRI,364990,140970
EVER,364960,138950
RODM,364970,136950
WADD,364620,135330
EAST,365290,134660
KNAP,365100,133000
CHES,367050,140950
BADG,367070,139050
MILT,366660,137290
GREE,367330,136660
CRAB,366880,135070
PITC,367030,132980
HADS,366710,131330
FRAN,367270,130700
BATC,369000,141000
QUAR,368660,139330
SEAT,369360,138660
WHAD,369020,136950
FLAG,368900,135100
NEWH,368340,133680
GODW,368970,133520
DROP,369690,133690
GODM,368480,133010
REDL,369520,133050
DODD,368260,132350
TOWE,369000,132490
POND,369630,132220
KNOW,369000,131000
GOOD,371850,136950
COGL,370780,135400
HORS,371300,134720
MOWO,371120,132960
WALT,372670,137300
COOK,373330,136670
CRAW,373000,135000
GLAD,375000,137000
PENR,375500,132200
MOUN,323100,124000
DARS,360100,144000
GOLD,336700,143100
